iter	Passed	Remaining
561	972	758
562	974	756
563	975	754
564	976	752
565	978	750
566	980	748
567	981	746
568	983	744
569	985	743
570	987	741
571	989	740
572	990	738
573	992	736
574	994	734
575	995	733
576	997	731
577	999	729
578	1001	727
579	1002	726
580	1004	724
581	1005	722
582	1007	720
583	1009	718
584	1010	716
585	1011	714
586	1013	713
587	1015	711
588	1016	709
589	1018	707
590	1019	705
591	1021	703
592	1022	702
593	1024	700
594	1025	698
595	1027	696
596	1029	694
597	1031	693
598	1032	691
599	1034	689
600	1036	688
601	1037	686
602	1039	684
603	1040	682
604	1042	680
605	1044	679
606	1046	677
607	1048	675
608	1050	674
609	1052	672
610	1054	671
611	1056	669
612	1058	668
613	1060	666
614	1062	665
615	1064	663
616	1066	662
617	1068	660
618	1069	658
619	1071	656
620	1074	655
621	1076	653
622	1078	652
623	1080	651
624	1082	649
625	1083	647
626	1085	645
627	1087	644
628	1089	642
629	1091	641
630	1093	639
631	1095	637
632	1096	635
633	1099	634
634	1101	633
635	1103	631
636	1105	630
637	1107	628
638	1109	627
639	1111	625
640	1113	623
641	1114	621
642	1116	619
643	1117	617
644	1119	616
645	1121	614
646	1122	612
647	1124	610
648	1126	609
649	1127	607
650	1129	605
651	1131	603
652	1133	602
653	1135	600
654	1137	598
655	1138	597
656	1140	595
657	1141	593
658	1143	591
659	1144	589
660	1146	587
661	1148	586
662	1149	584
663	1151	582
664	1153	580
665	1155	579
666	1156	577
667	1158	575
668	1160	574
669	1163	572
670	1165	571
671	1166	569
672	1168	567
673	1170	566
674	1171	564
675	1173	562
676	1175	560
677	1177	559
678	1179	557
679	1181	555
680	1183	554
681	1184	552
682	1186	550
683	1188	548
684	1189	547
685	1191	545
686	1193	543
687	1195	541
688	1196	540
689	1198	538
690	1200	536
691	1202	535
692	1204	533
693	1205	531
694	1208	530
695	1209	528
696	1211	526
697	1212	524
698	1214	522
699	1216	521
700	1217	519
701	1218	517
702	1220	515
703	1222	513
704	1224	512
705	1226	510
706	1227	508
707	1229	506
708	1230	505
709	1232	503
710	1234	501
711	1236	500
712	1238	498
713	1239	496
714	1241	494
715	1243	493
716	1245	491
717	1248	490
718	1249	488
719	1251	486
720	1253	485
721	1255	483
722	1256	481
723	1258	479
724	1260	478
725	1262	476
726	1264	474
727	1266	473
728	1268	471
729	1270	469
730	1272	468
731	1273	466
732	1275	464
733	1276	462
734	1278	460
735	1279	459
736	1281	457
737	1283	455
738	1284	453
739	1286	451
740	1287	450
741	1289	448
742	1291	446
743	1292	444
744	1294	442
745	1295	441
746	1297	439
747	1299	437
748	1301	436
749	1303	434
750	1304	432
751	1306	430
752	1308	429
753	1309	427
754	1312	425
755	1313	424
756	1315	422
757	1317	420
758	1318	418
759	1320	416
760	1321	415
761	1323	413
762	1325	411
763	1327	410
764	1328	408
765	1330	406
766	1332	404
767	1333	402
768	1335	401
769	1337	399
770	1339	397
771	1341	396
772	1343	394
773	1344	392
774	1346	391
775	1348	389
776	1350	387
777	1351	385
778	1353	384
779	1355	382
780	1357	380
781	1359	378
782	1361	377
783	1363	375
784	1364	373
785	1366	372
786	1368	370
787	1370	368
788	1371	366
789	1373	365
790	1375	363
791	1376	361
792	1378	359
793	1379	358
794	1381	356
795	1383	354
796	1385	352
797	1387	351
798	1389	349
799	1391	347
800	1392	346
801	1394	344
802	1396	342
803	1397	340
804	1399	339
805	1401	337
806	1403	335
807	1405	333
808	1407	332
809	1408	330
810	1410	328
811	1412	326
812	1413	325
813	1415	323
814	1417	321
815	1419	320
816	1420	318
817	1422	316
818	1424	314
819	1426	313
820	1427	311
821	1430	309
822	1431	307
823	1433	306
824	1435	304
825	1436	302
826	1438	300
827	1439	299
828	1441	297
829	1442	295
830	1445	293
831	1446	292
832	1448	290
833	1450	288
834	1451	286
835	1453	285
836	1455	283
837	1456	281
838	1458	279
839	1460	278
840	1462	276
841	1463	274
842	1465	272
843	1467	271
844	1469	269
845	1470	267
846	1472	266
847	1474	264
848	1476	262
849	1478	260
850	1479	259
851	1481	257
852	1483	255
853	1484	253
854	1486	252
855	1488	250
856	1490	248
857	1491	246
858	1493	245
859	1495	243
860	1497	241
861	1498	239
862	1500	238
863	1502	236
864	1503	234
865	1505	233
866	1507	231
867	1509	229
868	1510	227
869	1512	226
870	1514	224
871	1515	222
872	1517	220
873	1519	219
874	1521	217
875	1523	215
876	1524	213
877	1526	212
878	1528	210
879	1529	208
880	1531	206
881	1533	205
882	1536	203
883	1538	201
884	1540	200
885	1542	198
886	1543	196
887	1545	194
888	1547	193
889	1549	191
890	1551	189
891	1553	188
892	1554	186
893	1557	184
894	1559	182
895	1561	181
896	1563	179
897	1565	177
898	1568	176
899	1570	174
900	1571	172
901	1572	170
902	1574	169
903	1577	167
904	1579	165
905	1582	164
906	1584	162
907	1586	160
908	1588	159
909	1590	157
910	1592	155
911	1597	154
912	1599	152
913	1602	150
914	1604	149
915	1606	147
916	1607	145
917	1609	143
918	1611	142
919	1613	140
920	1615	138
921	1617	136
922	1619	135
923	1621	133
924	1623	131
925	1625	129
926	1627	128
927	1629	126
928	1631	124
929	1633	122
930	1635	121
931	1636	119
932	1638	117
933	1641	116
934	1643	114
935	1645	112
936	1647	110
937	1648	108
938	1650	107
939	1651	105
940	1653	103
941	1655	101
942	1657	100
943	1659	98
944	1661	96
945	1663	94
946	1664	93
947	1666	91
948	1667	89
949	1669	87
950	1671	86
951	1673	84
952	1675	82
953	1677	80
954	1679	79
955	1680	77
956	1682	75
957	1684	73
958	1686	72
959	1688	70
960	1690	68
961	1692	66
962	1693	65
963	1695	63
964	1697	61
965	1699	59
966	1701	58
967	1702	56
968	1704	54
969	1706	52
970	1707	51
971	1709	49
972	1710	47
973	1712	45
974	1713	43
975	1716	42
976	1718	40
977	1719	38
978	1721	36
979	1722	35
980	1724	33
981	1725	31
982	1727	29
983	1728	28
984	1730	26
985	1732	24
986	1733	22
987	1735	21
988	1736	19
989	1738	17
990	1739	15
991	1740	14
992	1742	12
993	1744	10
994	1746	8
995	1747	7
996	1749	5
997	1750	3
998	1752	1
999	1753	0
